plan,ablation,variant,dist,kBits,N,hit_rate,codes_ms,hist_ms,scan_ms,scatter_ms,compact_ms,count_ms,reduce_ms,write_ms,kernel_ms,e2e_ms,total
A,baseline,auto,uniform,8,20000000,0.95,2.5989,10.9890,0.4072,21.7388,4.8339,0.0000,0.0000,0.0000,40.7515,88.1240,18999999
A,no-gather,auto,uniform,8,20000000,0.95,1.9988,10.0450,0.5680,23.0128,4.0670,0.0000,0.0000,0.0000,39.8596,85.6395,18999999
A,no-binning,auto,uniform,8,20000000,0.95,2.0666,10.8640,0.5890,22.8744,4.0723,0.0000,0.0000,0.0000,40.6314,87.6193,18999999
A,force-shared,shared,uniform,8,20000000,0.95,2.0056,9.9664,1.0099,20.8821,5.1331,0.0000,0.0000,0.0000,39.1490,85.3528,18999999
A,force-warp,warp,uniform,8,20000000,0.95,2.1029,10.2357,0.5399,20.3316,4.1020,0.0000,0.0000,0.0000,37.4934,84.2156,18999999
A,force-bitmask,bitmask,uniform,8,20000000,0.95,2.3197,10.5613,0.4891,22.9206,4.2682,0.0000,0.0000,0.0000,40.7496,87.7020,18999999
B,baseline,atomic,uniform,8,20000000,0.95,2.2178,0.0000,0.7076,0.0000,0.0000,10.7086,0.0000,16.7065,30.3974,69.6009,18999999
B,no-binning,atomic,uniform,8,20000000,0.95,2.5960,0.0000,0.8950,0.0000,0.0000,12.5626,0.0000,19.1864,35.4008,73.3963,18999999
