plan,ablation,variant,dist,kBits,N,hit_rate,codes_ms,hist_ms,scan_ms,scatter_ms,compact_ms,count_ms,reduce_ms,write_ms,kernel_ms,e2e_ms,total
A,baseline,auto,uniform,8,20000000,0.50,2.1522,13.8500,0.4750,22.8248,3.9105,0.0000,0.0000,0.0000,43.4316,90.0000,9999998
A,no-gather,auto,uniform,8,20000000,0.50,2.1245,11.2673,0.5052,21.2187,3.7296,0.0000,0.0000,0.0000,38.9991,83.7789,9999998
A,no-binning,auto,uniform,8,20000000,0.50,2.3425,11.0238,0.5595,23.7091,3.6220,0.0000,0.0000,0.0000,41.3959,88.8013,9999998
A,force-shared,shared,uniform,8,20000000,0.50,2.0009,10.7317,0.8084,21.0596,3.9773,0.0000,0.0000,0.0000,38.7206,86.3482,9999998
A,force-warp,warp,uniform,8,20000000,0.50,1.9597,10.8898,0.5225,19.9322,3.4315,0.0000,0.0000,0.0000,36.9631,86.0711,9999998
A,force-bitmask,bitmask,uniform,8,20000000,0.50,2.5680,13.6655,0.5436,23.8467,2.8451,0.0000,0.0000,0.0000,43.6953,90.7698,9999998
B,baseline,atomic,uniform,8,20000000,0.50,2.5607,0.0000,0.5823,0.0000,0.0000,7.1864,0.0000,9.7845,20.1549,59.5630,9999998
B,no-binning,atomic,uniform,8,20000000,0.50,2.9085,0.0000,0.9198,0.0000,0.0000,8.4738,0.0000,8.4307,20.7887,59.2198,9999998
