plan,ablation,variant,dist,kBits,N,hit_rate,codes_ms,hist_ms,scan_ms,scatter_ms,compact_ms,count_ms,reduce_ms,write_ms,kernel_ms,e2e_ms,total
A,baseline,auto,uniform,8,20000000,0.05,2.5411,11.3410,0.9739,22.6146,4.3777,0.0000,0.0000,0.0000,42.0303,88.1893,999998
A,no-gather,auto,uniform,8,20000000,0.05,2.9822,11.7191,0.5562,19.8896,3.2382,0.0000,0.0000,0.0000,38.5651,84.9959,999998
A,no-binning,auto,uniform,8,20000000,0.05,2.6665,10.2013,0.5329,21.8083,2.0550,0.0000,0.0000,0.0000,37.4193,83.7438,999998
A,force-shared,shared,uniform,8,20000000,0.05,2.2290,11.1176,0.7350,20.3798,2.1456,0.0000,0.0000,0.0000,36.8052,82.4291,999998
A,force-warp,warp,uniform,8,20000000,0.05,3.0158,9.2297,0.6408,23.6713,1.9843,0.0000,0.0000,0.0000,38.7714,85.1802,999998
A,force-bitmask,bitmask,uniform,8,20000000,0.05,1.9894,9.3383,0.4676,21.7476,3.5446,0.0000,0.0000,0.0000,37.2955,85.7240,999998
B,baseline,atomic,uniform,8,20000000,0.05,2.6993,0.0000,0.8261,0.0000,0.0000,2.7198,0.0000,1.9169,8.3041,46.1184,999998
B,no-binning,atomic,uniform,8,20000000,0.05,2.9542,0.0000,0.8041,0.0000,0.0000,1.8606,0.0000,2.7903,8.5814,50.3370,999998
